MNET_SHORTNAME,NWSFIREZONE,ELEV_DEM,TIMEZONE,SGID,SHORTNAME,ELEVATION,STID,WIMS_ID,GACC,MNET_LONGNAME,STATUS,LONGITUDE,COUNTY,STATE,CWA,NWSZONE,ID,MNET_ID,NAME,COUNTRY,RESTRICTED,LATITUDE,PERIOD_OF_RECORD.start,PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_speed.wind_speed_1.position,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_speed.wind_speed_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.air_temp.air_temp_1.position,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.air_temp.air_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.position,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.solar_radiation.solar_radiation_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_gust.wind_gust_1.position,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_gust.wind_gust_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.position,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.relative_humidity.relative_humidity_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.wind_direction.wind_direction_1.position,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.wind_direction.wind_direction_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.volt.volt_1.position,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.volt.volt_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.position,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.fuel_temp.fuel_temp_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.pressure.pressure_1.position,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.pressure.pressure_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum.precip_accum_1.position,SENSOR_VARIABLES.precip_accum.precip_accum_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum.precip_accum_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.position,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_five_minute.precip_accum_five_minute_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.position,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_one_minute.precip_accum_one_minute_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.position,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.fuel_moisture.fuel_moisture_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.position,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_one_hour.precip_accum_one_hour_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.altimeter.altimeter_1.position,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.altimeter.altimeter_1.PERIOD_OF_RECORD.end,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.position,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.start,SENSOR_VARIABLES.precip_accum_ten_minute.precip_accum_ten_minute_1.PERIOD_OF_RECORD.end
SDGE,SGX250,1532.2,America/Los_Angeles,SC08,SDGE,1536,GOSSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.84494,San Diego,CA,SGX,CA050,28716,139,Goose Valley,US,False,33.07279,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T08:00:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX258,4199.5,America/Los_Angeles,SC11,SDGE,4196,JULSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.59080,San Diego,CA,SGX,CA058,28717,139,Julian,US,False,33.07656,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDGE,SGX258,5780.8,America/Los_Angeles,SC11,SDGE,5775,MLGSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.42443,San Diego,CA,SGX,CA058,28718,139,Mt. Laguna,US,False,32.87833,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX258,5485.6,America/Los_Angeles,SC11,SDGE,5483,PAMSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.86286,San Diego,CA,SGX,CA058,28719,139,Mt. Palomar,US,False,33.35214,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,,,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2019-10-09T17:43:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX258,2762.5,America/Los_Angeles,SC11,SDGE,2762,OGVSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.78822,San Diego,CA,SGX,CA058,28720,139,Oak Grove,US,False,33.39185,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-10-25T00:03:00Z,2022-06-01T09:10:00Z,,,,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX258,4065,America/Los_Angeles,SC11,SDGE,4058,PIHSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.63691,San Diego,CA,SGX,CA058,28721,139,Pine Hills,US,False,33.04940,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-25T16:13:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX250,2772.3,America/Los_Angeles,SC11,SDGE,2776,POTSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.576878,San Diego,CA,SGX,CA050,28722,139,Potrero,US,False,32.606357,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,,,,6.1,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-25T00:00:00Z,2022-06-01T09:10:00Z,,2019-10-17T23:53:00Z,2022-06-01T09:10:00Z,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDGE,SGX258,4120.7,America/Los_Angeles,SC11,SDGE,4116,RCHSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.50926,San Diego,CA,SGX,CA058,28723,139,Ranchita,US,False,33.21024,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2020-05-12T15:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2020-05-12T18:13:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX243,488.8,America/Los_Angeles,SC08,SDGE,489,MIGSD,,SOCC,San Diego Gas and Electric,ACTIVE,-116.98091,San Diego,CA,SGX,CA043,28724,139,San Miguel,US,False,32.68478,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2019-10-25T20:20:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,2,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-01-02T00:00:00Z,2022-06-01T09:10:00Z,,2019-10-25T23:13:00Z,2022-06-01T09:10:00Z,,,,2,2010-01-02T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-01-02T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX250,1204.1,America/Los_Angeles,SC08,SDGE,1213,TLGSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.48515,San Diego,CA,SGX,CA050,28725,139,Talega,US,False,33.47846,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2020-08-26T20:05:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
SDGE,SGX250,1453.4,America/Los_Angeles,SC08,SDGE,1454,VLCSD,,SOCC,San Diego Gas and Electric,ACTIVE,-117.00765,San Diego,CA,SGX,CA050,28726,139,Valley Center,US,False,33.23567,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,2,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,6.1,2010-08-10T00:00:00Z,2022-06-01T09:10:00Z,,2019-09-12T14:23:00Z,2022-06-01T09:10:00Z,,,,2,2010-08-10T00:00:00Z,2013-03-01T22:20:00Z,,,,,,,,,,,,,,,,2,2010-08-10T00:00:00Z,2013-03-14T19:10:00Z,,,
